,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
90,hsa04010_MAP2K4+MAP2K4_FOS+JUN,hsa04010,MAP2K4;MAP2K4,FOS;JUN,hsa04010_MAP2K4_FOS;hsa04010_MAP2K4_JUN
91,hsa04010_MAP2K4_JUND,hsa04010,MAP2K4,JUND,hsa04010_MAP2K4_JUND
92,hsa04010_MAP2K4_MYC,hsa04010,MAP2K4,MYC,hsa04010_MAP2K4_MYC
93,hsa04010_MAP2K4_NFATC1,hsa04010,MAP2K4,NFATC1,hsa04010_MAP2K4_NFATC1
94,hsa04010_MAP2K4_NFATC3,hsa04010,MAP2K4,NFATC3,hsa04010_MAP2K4_NFATC3
95,hsa04010_MAP2K4+MAP2K4+MAP2K4+MAP2K4_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP2K4;MAP2K4;MAP2K4;MAP2K4,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP2K4_NFKB1;hsa04010_MAP2K4_NFKB2;hsa04010_MAP2K4_RELA;hsa04010_MAP2K4_RELB
96,hsa04010_MAP2K4_TP53,hsa04010,MAP2K4,TP53,hsa04010_MAP2K4_TP53
97,hsa04010_MAP3K13+MAP3K13_ARRB1+ARRB2,hsa04010,MAP3K13;MAP3K13,ARRB1;ARRB2,hsa04010_MAP3K13_ARRB1;hsa04010_MAP3K13_ARRB2
98,hsa04010_MAP3K13_ATF4,hsa04010,MAP3K13,ATF4,hsa04010_MAP3K13_ATF4
99,hsa04010_MAP3K13+MAP3K13_CRK+CRKL,hsa04010,MAP3K13;MAP3K13,CRK;CRKL,hsa04010_MAP3K13_CRK;hsa04010_MAP3K13_CRKL
100,hsa04010_MAP3K13_ELK1,hsa04010,MAP3K13,ELK1,hsa04010_MAP3K13_ELK1
101,hsa04010_MAP3K13_ELK4,hsa04010,MAP3K13,ELK4,hsa04010_MAP3K13_ELK4
102,hsa04010_MAP3K13+MAP3K13+MAP3K13_FLNA+FLNB+FLNC,hsa04010,MAP3K13;MAP3K13;MAP3K13,FLNA;FLNB;FLNC,hsa04010_MAP3K13_FLNA;hsa04010_MAP3K13_FLNB;hsa04010_MAP3K13_FLNC
103,hsa04010_MAP3K13+MAP3K13_FOS+JUN,hsa04010,MAP3K13;MAP3K13,FOS;JUN,hsa04010_MAP3K13_FOS;hsa04010_MAP3K13_JUN
104,hsa04010_MAP3K13_JUND,hsa04010,MAP3K13,JUND,hsa04010_MAP3K13_JUND
105,hsa04010_MAP3K13_MYC,hsa04010,MAP3K13,MYC,hsa04010_MAP3K13_MYC
106,hsa04010_MAP3K13_NFATC1,hsa04010,MAP3K13,NFATC1,hsa04010_MAP3K13_NFATC1
107,hsa04010_MAP3K13_NFATC3,hsa04010,MAP3K13,NFATC3,hsa04010_MAP3K13_NFATC3
108,hsa04010_MAP3K13+MAP3K13+MAP3K13+MAP3K13_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP3K13;MAP3K13;MAP3K13;MAP3K13,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP3K13_NFKB1;hsa04010_MAP3K13_NFKB2;hsa04010_MAP3K13_RELA;hsa04010_MAP3K13_RELB
109,hsa04010_MAP3K13_TP53,hsa04010,MAP3K13,TP53,hsa04010_MAP3K13_TP53
110,hsa04010_MAP3K1+MAP3K1_ARRB1+ARRB2,hsa04010,MAP3K1;MAP3K1,ARRB1;ARRB2,hsa04010_MAP3K1_ARRB1;hsa04010_MAP3K1_ARRB2
111,hsa04010_MAP3K1_ATF4,hsa04010,MAP3K1,ATF4,hsa04010_MAP3K1_ATF4
112,hsa04010_MAP3K1+MAP3K1_CRK+CRKL,hsa04010,MAP3K1;MAP3K1,CRK;CRKL,hsa04010_MAP3K1_CRK;hsa04010_MAP3K1_CRKL
113,hsa04010_MAP3K1_ELK1,hsa04010,MAP3K1,ELK1,hsa04010_MAP3K1_ELK1
114,hsa04010_MAP3K1_ELK4,hsa04010,MAP3K1,ELK4,hsa04010_MAP3K1_ELK4
115,hsa04010_MAP3K1+MAP3K1+MAP3K1_FLNA+FLNB+FLNC,hsa04010,MAP3K1;MAP3K1;MAP3K1,FLNA;FLNB;FLNC,hsa04010_MAP3K1_FLNA;hsa04010_MAP3K1_FLNB;hsa04010_MAP3K1_FLNC
116,hsa04010_MAP3K1+MAP3K1_FOS+JUN,hsa04010,MAP3K1;MAP3K1,FOS;JUN,hsa04010_MAP3K1_FOS;hsa04010_MAP3K1_JUN
117,hsa04010_MAP3K1_JUND,hsa04010,MAP3K1,JUND,hsa04010_MAP3K1_JUND
118,hsa04010_MAP3K1_MYC,hsa04010,MAP3K1,MYC,hsa04010_MAP3K1_MYC
119,hsa04010_MAP3K1_NFATC1,hsa04010,MAP3K1,NFATC1,hsa04010_MAP3K1_NFATC1
120,hsa04010_MAP3K1_NFATC3,hsa04010,MAP3K1,NFATC3,hsa04010_MAP3K1_NFATC3
121,hsa04010_MAP3K1+MAP3K1+MAP3K1+MAP3K1_NFKB1+NFKB2+RELA+RELB,hsa04010,MAP3K1;MAP3K1;MAP3K1;MAP3K1,NFKB1;NFKB2;RELA;RELB,hsa04010_MAP3K1_NFKB1;hsa04010_MAP3K1_NFKB2;hsa04010_MAP3K1_RELA;hsa04010_MAP3K1_RELB
122,hsa04010_MAP3K1_TP53,hsa04010,MAP3K1,TP53,hsa04010_MAP3K1_TP53
123,hsa04010_MAPK10+MAPK8+MAPK9_ELK1+ELK1+ELK1,hsa04010,MAPK10;MAPK8;MAPK9,ELK1;ELK1;ELK1,hsa04010_MAPK10_ELK1;hsa04010_MAPK8_ELK1;hsa04010_MAPK9_ELK1
124,hsa04010_MAPK10+MAPK10+MAPK8+MAPK8+MAPK9+MAPK9_FOS+JUN+FOS+JUN+FOS+JUN,hsa04010,MAPK10;MAPK10;MAPK8;MAPK8;MAPK9;MAPK9,FOS;JUN;FOS;JUN;FOS;JUN,hsa04010_MAPK10_FOS;hsa04010_MAPK10_JUN;hsa04010_MAPK8_FOS;hsa04010_MAPK8_JUN;hsa04010_MAPK9_FOS;hsa04010_MAPK9_JUN
125,hsa04010_MAPK10+MAPK8+MAPK9_JUND+JUND+JUND,hsa04010,MAPK10;MAPK8;MAPK9,JUND;JUND;JUND,hsa04010_MAPK10_JUND;hsa04010_MAPK8_JUND;hsa04010_MAPK9_JUND
