BlockName	Pathway	Length	Genes
hsa04012_ERBB2_GSK3B	hsa04012	3	AKT1*AKT2*AKT3*ERBB2*GSK3B*PIK3CA*PIK3CB*PIK3CD*PIK3R1*PIK3R2*PIK3R3
hsa04012_ERBB2_MYC	hsa04012	7	ARAF*BRAF*ERBB2*GRB2*HRAS*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*NRAS*RAF1*SOS1*SOS2
hsa04012_ERBB4_ELK1	hsa04012	7	ARAF*BRAF*ELK1*ERBB4*GRB2*HRAS*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*NRAS*RAF1*SOS1*SOS2
hsa04012_ERBB4_GSK3B	hsa04012	3	AKT1*AKT2*AKT3*ERBB4*GSK3B*PIK3CA*PIK3CB*PIK3CD*PIK3R1*PIK3R2*PIK3R3
hsa04012_ERBB4_MYC	hsa04012	7	ARAF*BRAF*ERBB4*GRB2*HRAS*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*NRAS*RAF1*SOS1*SOS2
hsa04012_HRAS_ELK1	hsa04012	4	ARAF*BRAF*ELK1*HRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*RAF1
hsa04012_HRAS_MYC	hsa04012	4	ARAF*BRAF*HRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAF1
hsa04012_KRAS_ELK1	hsa04012	4	ARAF*BRAF*ELK1*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*RAF1
hsa04012_KRAS_MYC	hsa04012	4	ARAF*BRAF*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAF1
hsa04012_PAK1_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK1
hsa04012_PAK2_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK2
hsa04012_PAK3_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK3
hsa04012_PAK4_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK4
hsa04012_PAK5_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK5
hsa04012_PAK6_JUN	hsa04012	3	JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*PAK6
hsa04012_RAF1_ELK1	hsa04012	3	ELK1*MAP2K1*MAP2K2*MAPK1*MAPK3*RAF1
hsa04012_RAF1_MYC	hsa04012	3	MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*RAF1
hsa04012_TGFA_JUN	hsa04012	6	EGFR*JUN*MAP2K4*MAP2K7*MAPK10*MAPK8*MAPK9*NCK1*NCK2*PAK1*PAK2*PAK3*PAK4*PAK5*PAK6*TGFA
hsa04012_TGFA_MYC	hsa04012	8	ARAF*BRAF*EGFR*GRB2*HRAS*KRAS*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*NRAS*RAF1*SOS1*SOS2*TGFA
hsa04014_AKT1_MAPK10	hsa04014	3	AKT1*MAPK10*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_MAPK8	hsa04014	3	AKT1*MAPK8*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_MAPK9	hsa04014	3	AKT1*MAPK9*RALA*RALB*RALGAPA1*RALGAPA2*RALGAPB
hsa04014_AKT1_PAK1	hsa04014	5	AKT1*PAK1*RAC1*RAC2*RAC3*RALA*RALB*RALBP1*RALGAPA1*RALGAPA2*RALGAPB
